Energy Term,rho,p-value1,r,p-value2,r2,MSE,RMSE,SD
v_Elec_Tanh_-14.74075_70.0_6.70745_0.001787,0.0589656680873586,0.5661603643149471,0.004932255787741956,0.9617579768671362,2.4327147155714022e-05,73.08846580349888,8.549179247360467,4.306087437809776
v_Elec_Tanh_-14.74075_70.0_6.70745_0.002247,0.16092603996856622,0.11533196746303541,0.12377482237564089,0.22709018163847522,0.015320206654121453,185.87541831554498,13.633613545775198,10.598573482381092
v_Elec_Tanh_-14.74075_70.0_6.70745_0.002707,-0.12414482372406531,0.22569335938639074,-0.037963857343235576,0.7119886043853539,0.0014412544643775417,160.62992040494964,12.673985971467289,9.471283411734824
v_Elec_Tanh_-14.74075_70.0_6.70745_0.003167,-0.015162224644229364,0.8828137950572158,-0.023122809533820027,0.8221262670612209,0.0005346643207373183,70.95414261883285,8.423428198710596,3.078798121819516
v_Elec_Tanh_-14.74075_70.0_6.70745_0.003627,-0.023907133047015597,0.8161972399831572,-0.12084072598742839,0.23838190845103613,0.01460248105716875,1062.7167219752123,32.59933621985596,32.332656596076525
v_Elec_Tanh_-14.74075_70.0_7.7839_0.001787,-0.044533281663211396,0.6649195537334301,-0.13625056363774737,0.18327741609895165,0.018564216091603847,2413.5285429841947,49.12767593713542,48.579763864466614
v_Elec_Tanh_-14.74075_70.0_7.7839_0.002247,0.21565733135562834,0.03388183454360713,-0.01548747844209226,0.8803184080779461,0.00023986198849427248,61.810103904036865,7.861940212443546,3.0553137332543865
v_Elec_Tanh_-14.74075_70.0_7.7839_0.002707,0.09417543086699792,0.35886093278702946,0.11922790360715088,0.2447522182499927,0.014215292998556062,57.752293672180194,7.599492987836767,1.7078139610297
v_Elec_Tanh_-14.74075_70.0_7.7839_0.003167,-0.12211968704131483,0.23341284601762316,0.10144586890896992,0.32279663182222484,0.01029126431869591,4552.416321127357,67.47159640268902,66.46420025530789
v_Elec_Tanh_-14.74075_70.0_7.7839_0.003627,-0.20423634947920755,0.04478987284859025,-0.07555964483466363,0.4619854698117563,0.005709259927540509,56.2908475390314,7.502722675071457,0.6474379333581084
v_Elec_Tanh_-14.74075_72.1_3.4781_0.001787,0.01593151357891056,0.8769136082081834,0.12047224925566252,0.2398270622507216,0.01451356284071848,59.95528671448133,7.743079924324773,2.9087583185965875
v_Elec_Tanh_-14.74075_72.1_3.4781_0.002247,-0.3196888657532853,0.001413130577890096,-0.1982773222267051,0.05155088987354777,0.03931389650939265,110.32271317385042,10.503461961365424,5.923093602910336
v_Elec_Tanh_-14.74075_72.1_3.4781_0.002707,0.15869049947462086,0.12053920715518843,0.13685733539864914,0.18131604601808535,0.018729930252418342,56.341489458906565,7.506096819180163,0.3424993680608286
v_Elec_Tanh_-14.74075_72.1_3.4781_0.003167,-0.03178412572862305,0.7572779209904561,0.016413512346868296,0.8732202457117151,0.000269403387560798,57.61541359234659,7.590481776036788,0.6257343370507771
v_Elec_Tanh_-14.74075_72.1_3.4781_0.003627,-0.047656463235635056,0.6429769121670429,-0.06587201266835226,0.5214898560173752,0.00433912205297956,55.96212700937961,7.480783849930408,0.5821032473080653
v_Elec_Tanh_-14.74075_72.1_4.55455_0.001787,-0.08218898874799091,0.4235200277941453,0.11102498361532905,0.2789659841789868,0.012326546986784082,2861.849459069111,53.49625649584381,53.899554069842296
v_Elec_Tanh_-14.74075_72.1_4.55455_0.002247,0.09027638524079322,0.37918958775857226,0.004588141959064274,0.964424241949294,2.1051046636526152e-05,122.35525043870088,11.061430759115245,7.57372151567642
v_Elec_Tanh_-14.74075_72.1_4.55455_0.002707,-0.16402949618369034,0.10839378750322363,-0.17233736981147246,0.09141560523101137,0.02970016903353622,74.68988165309415,8.642330799795513,2.8845357629025505
v_Elec_Tanh_-14.74075_72.1_4.55455_0.003167,0.18917932674057555,0.06347605127679354,-0.007168348505907526,0.9444438274178949,5.138522030214665e-05,57.28849772518116,7.568916548964004,0.6028229576481149
v_Elec_Tanh_-14.74075_72.1_4.55455_0.003627,0.05872896379976438,0.5677228258575744,-0.07611298162924683,0.45870322924815476,0.0057931859724940655,56.37727573611483,7.508480254759603,0.1941092253510079
v_Elec_Tanh_-14.74075_72.1_5.631_0.001787,0.026471429495952915,0.796886487149544,-0.026791882876947073,0.7944815948482878,0.0007178049880920498,71.32282594207466,8.445284242823012,3.2742176667421408
v_Elec_Tanh_-14.74075_72.1_5.631_0.002247,-0.16935534265456015,0.09724967000282515,-0.10961229792654084,0.285166440485951,0.012014855856736749,451.5600893218862,21.249943278086324,19.236512359772707
v_Elec_Tanh_-14.74075_72.1_5.631_0.002707,-0.12463795765655326,0.2238410887857376,-0.12104630939861939,0.23757825124239962,0.014652209019026294,61.502558369518276,7.84235668466554,1.728296734019283
v_Elec_Tanh_-14.74075_72.1_5.631_0.003167,-0.01833143205035189,0.8585516793813556,-0.08012805778831844,0.43527612273466765,0.0064205056449281,56.198813666537895,7.496586801107414,1.5233329815069472
v_Elec_Tanh_-14.74075_72.1_5.631_0.003627,0.12785976601547452,0.21200261597645934,0.15032767232084215,0.14163533616048357,0.022598409065402492,57.949964775234186,7.612487423650314,1.1449179391218463
v_Elec_Tanh_-14.74075_72.1_6.70745_0.001787,0.09881088983238459,0.3355889043205146,-0.034857952724005714,0.7346372308446171,0.0012150768681090174,265.8921769448975,16.306200567419054,15.523427769927693
v_Elec_Tanh_-14.74075_72.1_6.70745_0.002247,0.049872278372280886,0.6275915896509142,-0.0695215495108364,0.49862746656882595,0.004833245846387677,104.96814118431648,10.24539609699481,7.948631695885401
v_Elec_Tanh_-14.74075_72.1_6.70745_0.002707,-0.05012213289807478,0.6258665389892492,-0.009765080769563781,0.9243701384411965,9.535680243610438e-05,56.272814018184036,7.501520780360742,0.7232635420445979
